x,l,P_reference,P_forward,P_backward,abs_err_forward,rel_err_forward,abs_err_backward,rel_err_backward
0.9,19,-0.03883397611600207812915802001953125,-3.88339761160016519e-02,-7.13459062945636102e-02,4.2618326095372140116523951292e-16,1.0974494594132138873153261581e-14,0.0325119301785615320879385186709,0.837203228467881263799102735966
0.9,20,-0.14930823530984868263316326141357421875,-1.49308235309848353e-01,-1.60558000285975361e-01,3.29843377753092499915510416031e-16,2.20914390333923759609617975342e-15,0.0112497649761266781437389595914,0.0753459107783361510319618100009
0.9,21,-0.225371160029208325075264949798583984375,-2.25371160029208123e-01,-2.14174861174343700e-01,2.02109537892890803050249814987e-16,8.96785275749999277606916158117e-16,0.0111962988548646247767147748778,0.0496793771368686808896241610408
0.9,22,-0.2539268614374336293234693212509155273437,-2.53926861437433593e-01,-2.23493141883709973e-01,3.62628940447831992059946060181e-17,1.42808420659025881705221410504e-16,0.0304337195537236567396535374866,0.119852304641753627385757978958
0.9,23,-0.2315596681553686450410729832649230957031,-2.31559668155368742e-01,-1.88679360889334485e-01,9.68853079655607580207288265228e-17,4.18403207852906485147423508396e-16,0.0428803072660341596894191581734,0.185180379673298439050220638519
0.9,24,-0.1647773395796300087832330334722995758057,-1.64777339579630255e-01,-1.18366445928896641e-01,2.46567417680335836485028266907e-16,1.49636726936703634350394844409e-15,0.0464108936507333679342290040668,0.281658229032790766005042908098
0.9,25,-0.06836994558931343625419300711081027984619,-6.83699455893138075e-02,-2.76662241648125765e-02,3.71244916991278220526874065399e-16,5.42994313936247528653552858336e-15,0.0407037214245008597960429452575,0.595345236472779270667897668523
0.9,26,0.03774049949774090367359103117004990577698,3.77404994977404915e-02,6.49723638099045653e-02,4.12221133341622677040286362171e-16,1.0922513979082277070699123707e-14,0.0272318643121636616058051068966,0.721555482162967263982812905728
0.9,27,0.1325126078283107573273818656182388067245,1.32512607828310397e-01,1.41426058593243531e-01,3.60353889463478711549192667007e-16,2.71939323638071689625516976956e-15,0.0089134507649327736867567597053,0.0672649260399541596599333412439
0.9,28,0.1978707357522277888756587323754097670317,1.97870735752227550e-01,1.87369145624933287e-01,2.38811794518095080588012933731e-16,1.20690810397113684427204977584e-15,0.0105015901272945023664970428384,0.0530729826589643484768382342861
0.9,29,0.2220833008585029091087793356395804986358,2.22083300858502863e-01,1.94900259653388253e-01,4.57135630265670142799615859985e-17,2.05839713521246403542516740189e-16,0.0271830412051146565745230825828,0.122400203437330613549367912147
0.9,30,0.2018123979590632865427359827858280411214,2.01812397959063416e-01,1.63849952149061756e-01,1.2995438036721547823192179203e-16,6.43936555342730353378214044461e-16,0.0379624458100015304523602306485,0.188107599899298740648091842673
0.9,31,0.1424839232966931341268653350243401451126,1.42483923296693432e-01,1.01559825270381973e-01,2.98020953845475596774546802044e-16,2.09161108811489523395025726213e-15,0.0409240980263111609655942297695,0.287219056574510788066532795447
0.9,32,0.05695794106848558819276403217248177978502,5.69579410684860066e-02,2.12216742565544784e-02,4.18382236114595224830477372743e-16,7.34545926812096536823940067795e-15,0.0357362668119311097434203840782,0.627415003800123746874972689456
